Org,URL,Description,Image,Summary
Financial Aid Office,https://depauw.campuslabs.com/engage/organization/finaid,"Paying for college is a partnership between students, their families and the University. In partnership with the Admission Office, we offer merit scholarships for academic achievement, accomplished leadership and involvement. We also offer need-based financial aid for students and families completing the <a href=""https://fafsa.ed.gov/"">FAFSA</a> annually. ",https://se-images.campuslabs.com/clink/images/0054ce65-2d4d-4965-8140-d4705f2d1309d689ce83-5998-4794-90a8-e8ae9d0166ae.jpg,Faculty and Staff Groups: University Offices & Programs
First-Year Student Orientation,https://depauw.campuslabs.com/engage/organization/first-yearstudentorientation,"Incoming students are supported by the <a href=""https://www.depauw.edu/studentacademiclife/firstyear/"" target=""_blank"" rel=""noopener""> First-Year Experience Program</a>.Each First-Year Seminar has an upper-class student leader - called a Mentor - who works with the students in the seminar outside of the classroom. Mentors promote the intellectual, social and personal development of first-year students during their entire first year at DePauw. Mentors serve as excellent resources for first-year students as they begin navigating their way through the University. These student leaders engage their Mentor Groups in team building activities that allow for the group to become close and serve as a source of support for one another. ",https://se-images.campuslabs.com/clink/images/f104b0dd-c9cb-4c03-9b93-accd0a2e3fbb533e6d72-ece6-45fb-8cb3-ae77746cf5c4.jpg,Faculty and Staff Groups: University Offices & Programs
Fraternity anSorority Life,https://depauw.campuslabs.com/engage/organization/ofs,"At DePauw, there are currently twenty-four Greek-lettered organizations. While a majority of these fraternities and sororitiesbelong toone of our fourgoverning councils, our campus is also home to one local sororityand aNational Greek Honor Society. 
 The resources provided on this site will help you to learn more about fraternities and sororities on our campus and answer some of the initial questions you may have about joining Greek Life at DePauw. For more information about the many opportunities available, please visit the Office of Campus Living and Community Development located in Anderson Street Hall. ",https://se-images.campuslabs.com/clink/images/5cb89b1b-487a-4e23-85f5-dd6002e55ca2100d88e6-05bc-49d7-b922-6c50a0705b77.JPG,Faculty and Staff Groups: University Offices & Programs
Future Medical Professionals,https://depauw.campuslabs.com/engage/organization/fump,Future Medical Professionals is a student-led organization with the goal to expand the knowledge of the pre-health track. We aim to provide resources to support pre-health individuals and encourage a life dedicated to service. ,,Student Groups: DSG-Recognized 
Gaming Club,https://depauw.campuslabs.com/engage/organization/gamingclub,"<strong>Welcome to Gaming Club!</strong> 
 At gaming club, we are a group of individuals that love to play a large variety of games! If you have a favorite one, bring it! 
 We accept everyone for who they are and don't allow any form of discrimination in our space. 
 <strong>Our mission is</strong>to utilize gaming as a value of common relation and enjoyment that can be used to bridge the gaps of difference and unite folk, spark productive dialogue, and create lasting bonds of friendship. 
 We meet on Tuesdays at 5:30 - 8:00 in the UB Basement (Student Org Space)! Bring a game or play ones we have in stock! See you there gamers! ",https://se-images.campuslabs.com/clink/images/f0fcc20b-795c-49ed-8026-61d214de47c809e1c04b-4267-4ce4-9215-c637b54ee5ec.png,Student Groups: DSG-Recognized 
Gamma Iota Sigma,https://depauw.campuslabs.com/engage/organization/gammaiotasigma,"The organization currently consists of over 5,000 collegiate members with 55 sustaining members and companies who invest in GIS. The organization proudly possesses a 98% job placement rate in Insurance Company! ",https://se-images.campuslabs.com/clink/images/e0974e9c-b222-43eb-8c18-98eb3517d32a9dd6463c-16e3-479c-88e6-11e1b74adabf.jpeg,Student Groups: DSG-Recognized 
Geology Club,https://depauw.campuslabs.com/engage/organization/geologyclub,"Geology Club is an organization open to all DePauw students to share our passion and excitement for the fields of geology, environmental geosciences, earth sciences, and related fields of interest. We explore the outdoors and apply our knowledge and our studies in the classroom to real world situations. 
 Make sure to follow us on Instagram @geoclub.dpu ",https://se-images.campuslabs.com/clink/images/02eb80ff-d16a-4841-8c98-219849fdfc9b311976d0-9975-4cb4-b4eb-111614bebb45.jpeg,Student Groups: DSG-Recognized 
Geoscience,https://depauw.campuslabs.com/engage/organization/geoscience,,,Faculty and Staff Groups: Academic Departments
German,https://depauw.campuslabs.com/engage/organization/german,,,Faculty and Staff Groups: Academic Departments
GIS,https://depauw.campuslabs.com/engage/organization/gis,,,Faculty and Staff Groups: University Offices & Programs
Global French,https://depauw.campuslabs.com/engage/organization/globalfrench,,,Faculty and Staff Groups: Academic Departments
Global Health,https://depauw.campuslabs.com/engage/organization/globalhealth,,,Faculty and Staff Groups: Academic Departments
Global Health Program,https://depauw.campuslabs.com/engage/organization/globalhealthprogram,,,Faculty and Staff Groups: University Offices & Programs
Global Partners Program,https://depauw.campuslabs.com/engage/organization/globalpartnersprogram,"The Global Partners program pairs every first-year international student with an upper-class domestic student with whom they meet once a month for social and intellectual events--films, coffee, campus events, concerts, etc. These casual meetings help first-year students adjust to campus life and expose both domestic and international participants to new cultures and perspectives. Global Partners is a casual, fun opportunity to gain intercultural competency, which is essential for success in our increasingly interconnected world. The 2018-2019 application season will begin in April 2018. In the mean time, students interested in participating are welcome to contact Hattie Blair Dickerson (hattieblair@depauw.edu). ",,Student Groups: Department-Recognized 
Gold Commitment Professional Programs,https://depauw.campuslabs.com/engage/organization/goldcommitmentprofessionalprograms,Organizations for professional programming that qualifies for the Gold Commitment. ,,Faculty and Staff Groups: University Offices & Programs
Green Dot,https://depauw.campuslabs.com/engage/organization/greendot,"This is the home for Green Dot, DePauw's bystander intervention program. To learn more about Green Dot or to sign up for a training email us at greendot@depauw.edu. 
  
 Power-based personal violence happens to such a staggering degree that the only workable solution must involve a broad-based, good ole&rsquo; fashioned social movement. Each significant stride in human rights has been fueled by and built upon a social movement, consisting of enough individuals simply raising their voices saying, &ldquo;This is no longer acceptable. Today is the day we reclaim our fundamental right to something better.&rdquo; One Green Dot at a time, this is our moment in history to reclaim our right to live free of violence and fear of violence. ",https://se-images.campuslabs.com/clink/images/401d3bf4-62cf-48cd-a6de-49386d1428670dbea1b7-94cc-40e4-920d-374be1db13b3.png,Faculty and Staff Groups: University Offices & Programs
Grounded,https://depauw.campuslabs.com/engage/organization/grounded,"<span style=""font-weight: 400;"">Grounded, Co., home of Coffee and Christ ministry, is a nonprofit organization striving to unite the DePauw and Greencastle community through fellowship, service, and the message of Jesus Christ, making all who come feel loved and welcomed.</span> ",https://se-images.campuslabs.com/clink/images/e419c8d7-ef67-4464-9100-7b5dc8377d3f5d85a7ee-9899-4142-a435-efa53b932418.jpg,Student Groups: DSG-Recognized 
Growing IE in STEM,https://depauw.campuslabs.com/engage/organization/growingiestem,,https://se-images.campuslabs.com/clink/images/b53c53ce-ffe3-4eed-8090-c47f5b6b8d51a1eb9258-4464-47ab-a14a-65e29dec8a27.png,Faculty and Staff Groups: University Offices & Programs
Hartman Center for Civic Engagement,https://depauw.campuslabs.com/engage/organization/hartman,"The Hartman Center strives to develop students into active community members with an understanding and respect of diversity and social justice by facilitating authentic service experiences through collaborative community partnerships. 
 The Hartman Center for Civic Engagement educates students through community-based experiential learning, partnerships, and action. As a Center we offer programs, such as DePauw Service volunteering, Bonner and Stone Scholars, and one-time service events. We also partner withGreek Life, theCenter for Diversity and Inclusion, individual faculty, and other campus entities to engage more colleagues and students in community engagement. 
<p class=""_04xlpA direction-ltr align-start para-style-body""><strong>Learning Goals</strong> 
<ul>
<li>To gain professional experience and skills through measurable community impact experiences</li>
<li>To gain a sense of agency in their community and beyond</li>
<li>To understand positionality and systems of oppression in relation to their academic, social, and service environments</li>
</ul>",https://se-images.campuslabs.com/clink/images/2a1670c2-5319-4260-a04c-1bc0ef90a529cd56fe9e-f518-4963-bfe2-f02a1df5ec5f.jpg,Faculty and Staff Groups: University Offices & Programs
Healthy Living Residence Hall Program,https://depauw.campuslabs.com/engage/organization/healthyliving,,,Faculty and Staff Groups: University Offices & Programs
Hearing Using Hands (H.U.H.),https://depauw.campuslabs.com/engage/organization/dpuaslclub,"Hearing Using Hands (HUH) is DePauw's official American Sign Language Club, founded in 2019 this club exists to share and explore Deaf Culture while breaking linguistic barriers to make campus more inclusive. Meetings are held weekly and involved language education, interactive games, silent dinners, and much more. Take advantage of this opportunity to become a member and experience what it means to Hear Using Hands. ",https://se-images.campuslabs.com/clink/images/645e71f2-3837-4442-837d-fa2992fb7f35e0dbf914-f09e-41e6-9095-309b53269774.jpg,Student Groups: DSG-Recognized 
HelpDesk and User Services,https://depauw.campuslabs.com/engage/organization/hdus,,,Faculty and Staff Groups: University Offices & Programs
Her Campus DePauw,https://depauw.campuslabs.com/engage/organization/hercampus,DSG Recognized Student Group ,https://se-images.campuslabs.com/clink/images/20de0e18-c8cb-435c-b2be-a1b492147adbda903efc-3a96-4e35-afab-9e1ad080ce5e.png,Student Groups: DSG-Recognized 
Hispanic Studies,https://depauw.campuslabs.com/engage/organization/hispanicstudies,,,Faculty and Staff Groups: Academic Departments
History Department,https://depauw.campuslabs.com/engage/organization/history,,,Faculty and Staff Groups: Academic Departments
Honor Scholar Program at DePauw University,https://depauw.campuslabs.com/engage/organization/honorscholar,,,Faculty and Staff Groups: University Offices & Programs
House of Opulence,https://depauw.campuslabs.com/engage/organization/houseofopulence,"The goal of the House of Opulence is to cultivate a safe and respectful community, addressing the unique issues impacting the queer, LGBTQIA+, and trans community on DePauw University&rsquo;s campus by creating a surrogate-family structure that promises radical acceptance. Our mission is to involve and educate the members of DePauw University on the intersectionality of queerness and being a student of color. ",https://se-images.campuslabs.com/clink/images/6ef731ae-c571-4962-a2d5-b6f309357708adb08272-2274-4816-ba68-9f28c687b839.png,Student Groups: DSG-Recognized 
Housing and Residence Life,https://depauw.campuslabs.com/engage/organization/housingandresidencelife,"<span style=""display: inline !important; float: none; background-color: rgba(250, 250, 250, 1); color: rgba(38, 38, 38, 1); font-family: inherit; font-size: inherit; font-size-adjust: none; font-stretch: inherit; font-style: inherit; font-variant: inherit; font-weight: inherit; letter-spacing: normal; line-height: inherit; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">DePauw University's Housing and Residence Life office houses Building Coordinators and HRL Directors. The Housing and Residence Life is located on the first floor of Reese Hall in Rector Village.</span> ",https://se-images.campuslabs.com/clink/images/63f5b825-3091-47c1-a405-2eb7fb72f105813e767b-4ed5-4f48-96b8-b11b89b7cfd1.jpg,Faculty and Staff Groups: University Offices & Programs
Hubbard Center for Student Engagement,https://depauw.campuslabs.com/engage/organization/hubbard,"The Kathryn F. Hubbard Center for Student Engagement helps you discover and develop your life goals by connecting your academic experiences to off-campus study, internships and career development opportunities to help you navigate your personal and professional journey. ",,Faculty and Staff Groups: University Offices & Programs
Human Resources,https://depauw.campuslabs.com/engage/organization/hr,"<div id=""section-1"" class=""section"">
<h3>Supporting Employees</h3>
<h3>COMPENSATION</h3>
</div>
<div id=""section-3"" class=""section"">
<div class=""part"">
 The Human Resources office facilitates the employee payroll process and ensures employees are paid accurately and on time. 
</div>
</div>
<div id=""section-4"" class=""section"">
<h3>EMPLOYEE BENEFITS</h3>
<div class=""part"">
 All aspects of employee benefits, including health and dental insurance, long-term care or disability programs as well as employee assistance, wellness programs, education benefits and leave programs are facilitated by the Human Resources office. 
</div>
</div>
<div id=""section-5"" class=""section"">
<h3>EMPLOYEE RELATIONS</h3>
<div class=""part"">
 The office maintains the relationship between employees and administration by promoting communication and employee recognition. The Human Resources office also handles disputes between employees and management. 
<div id=""section-1"" class=""section"">
<h3>TRAINING AND DEVELOPMENT</h3>
</div>
<div id=""section-2"" class=""section"">
<div class=""part"">
 The Human Resources office facilitates training programs and conducts training for new hires and existing employees, as well as collaborating with department supervisors to determine the training needs of employees. 
</div>
</div>
</div>
</div>
<div id=""section-6"" class=""section"">
<h3>EMPLOYMENT LAW COMPLIANCE</h3>
<div class=""part"">
 The Human Resources department is responsible for interpreting, enforcing, and complying with all federal, state and employment laws. 
</div>
</div>",https://se-images.campuslabs.com/clink/images/5f7adb2a-a18e-4d0d-9a68-2ad159ff105abe9edeb4-154f-417e-ac22-6a7d5a875d1f.JPG,Faculty and Staff Groups: University Offices & Programs
Information Services Office,https://depauw.campuslabs.com/engage/organization/is,"<p style=""text-align: center;""><strong><em>Information Technology at DePauw:</em></strong> 
<p style=""text-align: center;""><strong><em>Creating points of connection between people and information</em></strong> 
  
 Information Services provides<a class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_contextualized"" title=""Link to Information Technology Training"" href=""https://www.depauw.edu/it/training/"" target=""_self"">IT Training</a>workshops as well as one-on-one support for staff members that covers a variety of software and technology tools. 
  
 The<a class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_contextualized"" title=""Link to HelpDesk"" href=""https://www.depauw.edu/it/helpdesk/"" target=""_self"">HelpDesk</a>provides technical support services to students, faculty, and staff. 
  
 The<a class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_contextualized"" href=""https://depauw-helpdesk.blogspot.com/"">Information Services Blog</a>and<a class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_contextualized"" href=""https://twitter.com/DePauwIT"">@DePauwIT</a>provide IT-Related News, Announcements, Tips &amp; Tricks. 
  
 <a class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_contextualized"" title=""Link to Faculty Instructional Technology Support (FITS)"" href=""https://www.depauw.edu/it/fits/"" target=""_self"">Faculty Instructional Technology Support (FITS)</a>provides pedagogical support for faculty members to enhance their teaching and their students learning through the latest technology. 
  
 The<a class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_contextualized"" title=""Link to Geographic Information Systems"" href=""https://www.depauw.edu/it/gis/"" target=""_self"">Geographic Information Systems (GIS) Center</a>coordinates GIS-related activities, workshops, and seminars for faculty, students, and staff. 
  
 <a class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_contextualized"" title=""Link to Media Services"" href=""https://www.depauw.edu/it/media/"" target=""_self"">Media (A/V) Services</a>provides audio and video support for campus events, manages audiovisual components of technology classrooms, and offers checkout, delivery, and setup of several types of audiovisual equipment for students, faculty members, and staff members. 
  
 <a class=""x_x_x_x_contextualized"" title=""Link to DePauw Printing Services"" href=""https://www.depauw.edu/it/dps/"" target=""_self"">Printing Services</a>offers specialized production services for a wide variety of print-related media, including digital printing and copying, bindery and finishing services, and wide-format printing. 
  
 <strong>Learn more about DePauw's Information Services at<a href=""https://www.depauw.edu/it/whatwedo/"">What We Do</a></strong> 
  
  ",https://se-images.campuslabs.com/clink/images/b64f4297-8d4c-454b-9d5c-875c274a4016c50c553e-32ff-4dfc-bf9b-3af180e72524.jpg,Faculty and Staff Groups: University Offices & Programs
Information Technology Associates Program (ITAP),https://depauw.campuslabs.com/engage/organization/itap,"The Information Technology Associates Program (ITAP) provides internship-quality opportunities for students to expand their technology and professional skills. ITAP students work in selected on-campus jobs and projects involving technology. The program is open to students of any major, and ITAP interns gain valuable professional communication, technology, and leadership skills that are essential to any career path. ",https://se-images.campuslabs.com/clink/images/a3cbcf1c-a0e5-4f57-9c77-19f9bd8320c93cae8d5b-dfb7-46cc-a45f-b50c2de9ea69.jpg,Faculty and Staff Groups: University Offices & Programs
Interfraternal Council (IFC),https://depauw.campuslabs.com/engage/organization/ifc,,,Student Groups: Greek
International Computer Science Association,https://depauw.campuslabs.com/engage/organization/internationalcomputerscienceassociation,,https://se-images.campuslabs.com/clink/images/17e45689-736a-47e5-9e92-28df08f564d364555c83-d5d2-4a67-8fa7-1336d55b03df.png,Student Groups: DSG-Recognized 
International Student Ambassador Program,https://depauw.campuslabs.com/engage/organization/internationalstudentambassadorprogram,"<p class=""x_introduction"">Building community and supporting First Year international students. 
 A team of upper-class International Student Ambassadors provide guidance, support and friendship to first year international students. Ambassadors communicate with students during the summer before their arrival, guide students through International Student Orientation (ISO), meet individually once a month during the fall semester, and spend social time with students in their first months on campus. International Ambassadors help DePauw feel like a welcoming community as new international students adjust to academic and social life at DePauw. ",,Student Groups: Department-Recognized 
InterVarsity,https://depauw.campuslabs.com/engage/organization/intervarsity,Intervarsity ,,Student Groups: DSG-Recognized 
Intramurals at Depauw,https://depauw.campuslabs.com/engage/organization/intramurals,,,Faculty and Staff Groups: University Offices & Programs
Italian Studies,https://depauw.campuslabs.com/engage/organization/italianstudies,,,Faculty and Staff Groups: Academic Departments
J-Club,https://depauw.campuslabs.com/engage/organization/jclub,"デポー大学日本クラブ 
 J-Club is a student led organization that hosts events focusing on Japanese culture and traditions. The goal of J-Club is to help share Japanese culture with those who are unfamiliar with it, and to allow those familiar with it to engage with it on campus. ",https://se-images.campuslabs.com/clink/images/2e0545de-8764-4885-b348-733a6722a472697e955c-2813-48e9-a078-73ec5711826a.png,Student Groups: DSG-Recognized 
Justin and Darrianne Christian Center for Diversity and Inclusion,https://depauw.campuslabs.com/engage/organization/cdi,"The Justin and Darrianne Christian Center for Diversity and Inclusion is committed to fostering a sense of belonging through education, celebration, and advocacy to enhance the overall experience of students who identify as International, LGBTQIA+, Undocumented, and Students of Color. The CDIstrengthens DePauw&rsquo;s dedication to respecting and valuing difference by creating an equitable space that engages the entire campus. Our collective work and continued growth follow three principle values: 
 <strong>Education:</strong> Through educational moments, students will begin to better understand themselves, the way society impacts their existence, and the multiple sources of knowledge that shape our understanding of self and others. 
 <strong>Celebration:</strong> Honoring one&rsquo;s histories and celebrating one&rsquo;s culture with a frame of power and equity allows students to further understand who they are both in relation to personal traditions and in relation to others. 
 <strong>Advocacy:</strong> The ability to understands one needs and how to advocate for them in organizations and society is vital. Our work and coaching will support students to find their voice, while learning to also advocate for those different than themselves. ",https://se-images.campuslabs.com/clink/images/52f13345-803f-4120-8010-921d4a7eb329a1273619-8b53-4a49-a6cc-54deecf755f6.jpg,Faculty and Staff Groups: University Offices & Programs
K-pop Club,https://depauw.campuslabs.com/engage/organization/k-popclub,We hold regular K-Pop dance workshops to teach individuals K-Pop choreography. ,https://se-images.campuslabs.com/clink/images/17d47e5d-03ff-4f9d-bd8d-3ea0ba2261ae4031436b-a2f5-41fb-a4e0-bc4b0e236f2b.jpeg,Student Groups: DSG-Recognized 
Kappa Alpha Theta,https://depauw.campuslabs.com/engage/organization/kappaalphatheta,"Greek Student Group: 
 Kappa Alpha Theta is the international fraternity for women founded on January 27, 1870 at Indiana Asbury (now DePauw University) in Greencastle, Indiana. The founders of Kappa Alpha Theta were among the first women enrolled and first female graduates of Indiana Asbury. 
 The organization currently has more than 145 chapters at colleges and universities in the United States and Canada. Theta's total living initiated membership as of January 23, 2017, totals more than 270,000. 
 Kappa Alpha Theta Foundation is the philanthropic arm of the organization. Theta Foundation works to award annual undergraduate and graduate scholarships to its members, awarding more than $1.1 million per year. 
 In addition to scholarships, Theta Foundation also supports the sorority's educational programs as well as the its international philanthropy,Court Appointed Special Advocates (CASA). CASA are community volunteers who serve as the voice for abused and neglected children in court. Their purpose is to ensure all legal actions made are in the child's best interest.The Alpha Chapter at DePauw supports this philanthropy in a variety of community events, most notably through ""Mr. University."" 
 Kappa Alpha Theta's colors are Black and Gold; their flower is the Pansy and their symbol is the Kite. ",https://se-images.campuslabs.com/clink/images/242b7ee7-a777-41f7-a380-ea487bb1a9045f470290-6aec-4a8b-b696-9f538940c42d.jpg,Student Groups: Greek
"Kappa Delta Pi, International Education Honor Society",https://depauw.campuslabs.com/engage/organization/kdp_edstudies,"Kappa Delta Pi is a membership organization founded in 1911 to foster excellence in education and promote fellowship among those dedicated to teaching. KDP Membership is a lifelong connection to a network of 40,000 exceptional educators working in various levels of education, including some of today&rsquo;s top thinkers and practitioners in education.  
 The Xi Eta Chapter of Kappa Delta Pi was started at DePauw in 1977 and has been active ever since. Working on various projects throughout the year, DePauw KDP members strive to uphold the four Ideals of the Society: Science, Service, Toil, and Fidelity to Humanity. These Ideals are expressed in the KDP motto, ""Knowledge, Duty, Power.""  
 Since 2003, KDP members have not only attended, but also have presented, at the biennial national conference. Recent topics have included such things as life-long learning for the elderly and the service of tutoring/teaching. Attending and presenting at the KDP conference has allowed members to meet experts in the field of education like Michael Apple, Sonia Nieto, and James Banks. ",https://se-images.campuslabs.com/clink/images/4e026f99-20b2-4bf7-a6a4-b1284b2d315f56dd1af3-475a-4010-ad77-c4680c554e59.jpg,Student Groups: Department-Recognized 
Kappa Kappa Gamma,https://depauw.campuslabs.com/engage/organization/kappakappagamma,"Greek Student Group: 
 Kappa Kappa Gamma was nationally founded in 1870 at Monmouth College in Monmouth, Illinois.Kappa has a total membership of more than 260,000 women, with 140 collegiate chapters in the United States and Canada and 307 alumnae associations worldwide. In 1875, the Iota chapter of Kappa Kappa Gamma was established at DePauw University. 
<div>We&rsquo;re a women&rsquo;s organization. It starts with that. But where we go from there is up to the woman. Kappa Kappa Gamma offers a member experience ranging from friendship to mentoring, from leadership to service and from campus activities to a lifetime of community involvement.</div>
<div></div>
<div>Kappa Kappa Gamma supports a three-part Philanthropy program, often referred to as ""Philanthropy 1-2-3"".</div>
<div>
<ul>
<li>The first branch of philanthropy supports the ""Kappa family"" through the Kappa Kappa Gamma Foundation, which provides funding for Kappa museums, members-only scholarships, educational and leadership programming, and the Rose McGill fund, which provides emergency financial aid to sisters in need.</li>
<li>The second branch supports the local community by encouraging chapters and alumnae associations to volunteer and raise money for charities in their regions.</li>
<li>The third branch encompasses the entire fraternity through its national philanthropy,Reading is Fundamental(RIF). The fraternity officially adopted RIF, which works to promote literacy in children, as the national philanthropy in 2004.</li>
</ul>
 Kappa Kappa Gamma's colors are Light Blue and Dark Blue.Their flower is theFleur de lis and their symbol is the Key. 
</div>",https://se-images.campuslabs.com/clink/images/f0fcc20a-91fa-4ec7-b722-9c58eac6d55ba209778b-5aba-4476-9768-75568766e9c9.png,Student Groups: Greek
Kelly Writers Series,https://depauw.campuslabs.com/engage/organization/kellywritersseries,"Attend the readings of world-renowned poets, playwrights and authors of fiction and non-fiction. Participate in open discussion and critical questioning to shape your worldview and think through new perspectives. ",https://se-images.campuslabs.com/clink/images/bfd95b81-ceeb-4e29-9f77-f60ee77c4f1179f5a631-3d9f-41fe-afeb-57e2e630a835.JPG,Faculty and Staff Groups: University Offices & Programs
La Fuerza Latina Latin Dance Group,https://depauw.campuslabs.com/engage/organization/lafuerzalatinalatin,"La Fuerza Latina was founded at DePauw University in 2016. Our team strives to be a group of members who are enthusiastic and passionate about Latinx dance. We welcome all students with a variety of dance experience.The purpose of La Fuerza is to provide a positive, artistic, and fun outlet for all students. La Fuerza Latina's goal is to bring the campus together and share Latinx culture through the love of dance with styles such as salsa and bachata. 
  ",https://se-images.campuslabs.com/clink/images/8e9c89d0-bb4b-408f-b03e-e4b7f94d2c3f49710870-ab88-4c39-924e-db7989750a15.png,Student Groups: DSG-Recognized 
Lambda Sigma Upsilon,https://depauw.campuslabs.com/engage/organization/lambdasigmaupsilon,"Greek Student Group: 
 Lambda Sigma Upsilon was founded on April 5th, 1979 at Rutgers University. The official motto of the fellowship was ""Latinos Siempre Unidos"" (Latinos Always United), thus the acronym ""LSU"". Lambda Sigma Upsilon Fraternity, Inc. was approved for colony status on DePauw's campus in the Spring of 2012 for a Fall 2012 colonization. 
 The fraternity's mission is grounded in the belief that many individual and collective successes can be achieved through the efforts of a culturally diverse brotherhood of college and university men who, through close association with each other, maintain honesty, commitment, respect, and trust. 
 Among the results of actions taken in these states of being are the promotion of friendship and Brotherhood, the development of individual character, the advancement of justice and opportunity, and the acquisition of soundness and excellence in education. 
 In May 2010, the fraternity created the ""Live Safe"" campaign as a long-term national initiative to re-ignite the commitment to their national philanthropy:focusing on raising awareness and funds for HIV/Aids research. 
 Lambda Sigma Upsilon's colors are Baby Blue and White. ",https://se-images.campuslabs.com/clink/images/7bd022d6-8dde-47d9-a4d5-a842f72f50c6f24fbd72-1546-411c-bf1e-903c818e0673.jpg,Student Groups: Greek
Latin American and Caribbean Studies,https://depauw.campuslabs.com/engage/organization/lacs,,,Faculty and Staff Groups: Academic Departments
Lilly Scholars Network at DePauw University,https://depauw.campuslabs.com/engage/organization/lsn_depauw,"Since 1998, more than 4,900 Indiana high school seniors have received full-tuition scholarships to four-year Indiana colleges and universities thanks to the Lilly Endowment Community Scholarship Program, which is administered locally by community foundations, and statewide by the Independent Colleges of Indiana. Funding for the scholarships is provided by Lilly Endowment Inc. 
 The Lilly Scholars Network was formed in 2006 to bring scholars together to give back. Now, with support from Lilly Endowment Inc., Lilly Scholars have the ability to connect with each other, their community, and the state through the expanded, volunteer-led Lilly Scholars Network (LSN), organized to: 
 ● Engage Lilly Scholars in topics and with people focused on advancing Indiana&rsquo;s future. 
 ● Inspire and equip Lilly Scholars to be active changemakers in their communities. 
 ● Cultivate meaningful connections. 
 The Lilly Scholars Network engages its recipients in college in larger statewide network events but also encourages the development of collegiate chapters at colleges and universities around the state of Indiana to help scholars connect on campus and to come alongside each other to serve the campus and surrounding community. ",https://se-images.campuslabs.com/clink/images/0a0013ba-dc08-4f26-8b37-900cc0e63ca0d359ca41-77fe-4137-8cb1-f2788b21f338.png,Student Groups: DSG-Recognized 
Little 5,https://depauw.campuslabs.com/engage/organization/little5,,https://se-images.campuslabs.com/clink/images/2ab477af-099e-413f-afa7-3c1d9a7f5245dba26576-fd49-4c29-8181-78355a1972d4.png,Student Groups: DSG-Recognized 
Management Fellows,https://depauw.campuslabs.com/engage/organization/managementfellows,Sandy will add here . . . . ,,Faculty and Staff Groups: University Offices & Programs
Marketing Group at DePauw,https://depauw.campuslabs.com/engage/organization/marketinggroup,,,Student Groups: Department-Recognized 
Math Department,https://depauw.campuslabs.com/engage/organization/math,,https://se-images.campuslabs.com/clink/images/67452b1e-88d8-4dc8-9796-157ab2cc708f9fe018fe-9050-40e9-abbd-e49fb2f9a93e.jpg,Faculty and Staff Groups: Academic Departments
McDermonCenter,https://depauw.campuslabs.com/engage/organization/mcdermondcenter," 
 Sandy will add description here ",,Faculty and Staff Groups: University Offices & Programs
McDermonCenter Consulting Group,https://depauw.campuslabs.com/engage/organization/consultinggroup,,,Faculty and Staff Groups: University Offices & Programs
McDermonCenter Innovations Group,https://depauw.campuslabs.com/engage/organization/innovationsgroup,,,Faculty and Staff Groups: University Offices & Programs
McDermonCenter Investment Banking Workshop,https://depauw.campuslabs.com/engage/organization/investmentbanking,,,Faculty and Staff Groups: University Offices & Programs
McDermonCenter Investment Group,https://depauw.campuslabs.com/engage/organization/investmentgroup,,,Faculty and Staff Groups: University Offices & Programs
McDermonCenter Women in Economics anBusiness,https://depauw.campuslabs.com/engage/organization/womeninecon,,,Student Groups: Department-Recognized 
McKim Observatory,https://depauw.campuslabs.com/engage/organization/mckimobservatory,,,Faculty and Staff Groups: University Offices & Programs
Media Fellows,https://depauw.campuslabs.com/engage/organization/mediafellows,,,Faculty and Staff Groups: University Offices & Programs
Men Against Sexual Assault,https://depauw.campuslabs.com/engage/organization/menagainstsexualassault,,,Student Groups: DSG-Recognized 
Modern Languages,https://depauw.campuslabs.com/engage/organization/modernlanguages,,,Faculty and Staff Groups: Academic Departments
Moroccan Student Organization,https://depauw.campuslabs.com/engage/organization/mso,,https://se-images.campuslabs.com/clink/images/65f328ec-ec21-4de5-91f0-4cbd1a470653d2279123-fd8d-4b08-abc5-c07c706af97f.jpg,Student Groups: DSG-Recognized 
